,title,body
0,"
			""포기하지 말길""..JBJ95가 바이나인에게 해주고 싶은 말(종합)[Oh!쎈 현장]
		","

이미지 원본보기
[OSEN=이소담 기자] 듀오그룹 JBJ95는 존재 그 자체만으로도 프로젝트 그룹의 롱런 가능성을 보여주고 있는 그룹이다.JBJ95는 6일 오후 서울시 광진구 광장동 예스24홀에서는 세 번째 미니앨범 ‘스파크’ 발매 기념 쇼케이스를 갖고 약 4개월 만에 컴백을 알렸다.JBJ95의 태생은 서바이블 프로그램. 켄타와 상균은 프로그램에서 최종 데뷔조에는 들지 못했지만, 시청자들의 사랑과 지지를 받으면서 파생그룹 JBJ으로 활동했다. 두 사람은 짧으면서도 뜨거웠던 활동을 통해 오랫동안 함께할 수 있는 미래에 대해 고민했고, JBJ95라는 이름으로 재데뷔했다. 더욱이 상균이 켄타의 소속사 스타로드엔터테인먼트로 이적하면서 한솥밥을 먹는 보다 완전한 그룹이 되기도.앞서 상균은 지난 앨범인 ‘어웨이크’ 활동을 통해 이적 소감을 밝혔던 바 있다. 당시 그는 “제가 이번 활동부터 이적을 했다. 사실 크게 달라진 점은 없는데 아무래도 한 그룹을 두 회사에서 하는 것보다 한 회사에서 하는 게 더 안정적으로 할 수 있다고 생각해서 서로 각자 회사에서 존중해주시고 좋은 쪽으로 이적하게 됐다”고 전했다.이미지 원본보기
이들을 보고 있으면, 얼마 전 종영한 ‘프로듀스 101’의 네 번째 시즌인 ‘프로듀스 X 101’을 떠올리게 된다. 특히나 데뷔조에 들지는 못했지만, 국민 프로듀서들의 사랑을 받아 파생그룹 JBJ로 데뷔하고 심지어 JBJ95로 롱런하고 있지 않은가. ‘프로듀스 X 101’에서는 현재 바이나인이 국민 프로듀서들의 사랑과 지지로 탄생할 파생그룹으로 점쳐지고 있다.켄타는 같은 서바이벌 프로그램의 선배로서 바이나인으로 거론되는 연습생들에게 해주고 싶은 말이 있냐는 질문을 받고, “저희는 ‘프로듀스 101' 나가면서 방송 자체에 감사하고 있다. 그 방송이 없었으면 저희가 이 자리에 없는 거라 정말 감사하고 있다. 그만큼 힘들었지만 힘든 과정에서 얻을 수 있는게 많았다. 거기서 많이 생각을 했던게 ‘포기하지 말자’라는 생각을 했다. 자신을 믿고 여기까지 왔는데, 연습생 친구분들도 저처럼 포기를 하지 않고 계속 열심히 한다면 좋은 결과가 나오지 않을까 말씀을 드리고 싶다”며 진중하게 생각을 털어놨다.이미지 원본보기
상균은 소위 ‘시한부 그룹’이 아닌 완연한 그룹에 대한 소중함을 알고 있다. 그는 “JBJ로 활동하면서 오래오래 안정적으로 활동할 수 있는게 팬들에게 참 중요한 부분이라는 생각이 들었다. 다행히 한 소속사에서 활동할 수 있게 됐다. 시작이 팬여러분들이 만들어주신 그룹이라, 응원해주시고 생각해주시는 마음을 생각하면서 활동하게 되는 것 같다. 그게 활동의 원동력인 것 같다. 오디션 프로그램에 출연해서 받은 관심과 사랑에 대한 초심을 잃지 않으려고 많이 노력하고 있다”며 지극한 팬사랑을 드러냈다.이들이 말하는 ‘초심’은 곧 국민 프로듀서들의 사랑으로, 이것은 곧 JBJ95가 계속해서 활발하게 활동할 수 있게 하는 원동력이 된다.지난 앨범을 통해 봄을 노래했다면, 이번에는 타이틀곡 명처럼 ‘불꽃처럼’ 뜨거운 여름 감성을 전한다. 이날 오후 6시 발매. / besodam@osen.co.kr


				enter.read.font.util.init();
			

"
1,"
			'더쇼' NCT DREAM, 컴백과 동시에 1위..""시즈니들 고맙고 사랑해"" [종합]
		","

이미지 원본보기
[OSEN=지민경 기자] 그룹 NCT 드림이 '더쇼' 1위를 차지했다.6일 오후 방송된 SBS MTV '더쇼'에서는 CIX와 NCT DREAM, 공원소녀가 1위 후보에 오른 가운데 NCT드림이 1위를 차지했다.NCT 드림은 ""정말 저희 NCT 드림이 10개월 만에 돌아왔는데 감격적인 1등을 하게 돼서 기쁘고 팬들에게 너무 고맙고 사랑한다""며 ""저희가 첫 1위를 했던 곳이 더쇼였는데 좋은 추억 다시 떠올리게 해주신 시즈니들 고맙고 앞으로 더 좋은 추억 만들어 나가자""는 소감을 전했다.이미지 원본보기
이날 '더쇼'에는 다양한 컴백 무대가 이어졌다. 먼저 NCT 드림은 파워풀한 퍼포먼스가 돋보이는 타이틀곡 ‘BOOM’과 수록곡 '스트롱거' 무대로 눈길을 사로잡았다. NCT 드림의 신곡 ‘BOOM’은 NCT DREAM과 함께 꿈을 향해 나아가자는 메시지를 자신감 넘치는 애티튜드로 표현한 어반 팝 장르 곡인 만큼, 퍼포먼스 역시 NCT DREAM의 절도 있고 부드러운 카리스마를 만날 수 있는 곡.두번째 싱글로 돌아온 TRCNG는 중독성 있는 리드사운드와 서정적인 멜로디가 한층 성숙해진 각 멤버들의 감성과 잘 어우러진 팝 댄스 곡 ‘MISSING’ 무대로 역대급 칼군무를 뽐냈다.이미지 원본보기
베리베리는 중독성 있는 멜로디가 돋보이는 신곡 ‘Tag Tag Tag’ 무대로 업그레이드된 실력과 비주얼을 자랑하며 존재감을 입증했다.Mnet '프로듀스48'의 김도아가 속한 파나틱스는 유닛활동 이후 9개월만에 신곡 'SUNDAY'로 정식 데뷔했다. 타이틀곡 'SUNDAY'는 매일이 일요일이었으면 좋겠다는 내용으로, 시원한 분위기가 가득한 트로피컬 사운드를 녹여냈다. 한편 이날 방송에는 1TEAM, CIX, DONGKIZ, NCT DREAM, FANATICS, TRCNG, VAV, VERIVERY, 공원소녀, 네이처, 디원스, 비너스, 크나큰, 펜타곤이 출연해 다채로운 무대를 꾸몄다. /mk3244@osen.co.kr[사진] '더쇼' 방송화면 캡처


				enter.read.font.util.init();
			

"
2,"
			[ASL] 조기석, 끊임없이 김성대 흔들며 8강 기선 제압
		","

이미지 원본보기
[OSEN=강남, 고용준 기자] 뱃심 두둑한 3해처리 전략을 꺼내든 김성대를 조기석이 시종일관 끊임없이 흔들면서 제대로 응징했다. 조기석이 ASL 8강 서전을 승리로 장식했다. 조기석은 6일 오후 서울 대치동 프릭업스튜디오에서 열린 'ASL 시즌8' 8강 김성대와 1세트 '트라이포드'서 물흐르듯 부드러운 견제와 압박으로 낙승을 거두면서 기선 제압에 성공했다. 김성대가 과감하게 3해처리로 부유한 체제를 선택했자, 조기석은 벌처에 이어 레이스로 동시 다발적으로 김성대를 흔들면서 메카닉 체제로 자연스럽게 방향을 이어나갔다. 곧이어 언덕 탱크 견제까지 지속적으로 압박을 이어가면서 김성대는 계속 흔들렸다. 레이스로 오버로드를 사냥하면서 주요 진출로의 시야를 확보한 조기석은 메카닉 부대의 화력으로 김성대를 압도하면서 항복을 받아냈다. ◆ ASL 시즌8 8강 2회차▲ 김성대 0-1 조기석1세트 김성대(저그, 3시) [트라이포드] 조기석(테란, 11시) 승scrapper@osen.co.kr


				enter.read.font.util.init();
			

"
3,"
			'아이돌룸' 오마이걸, 비글 매력 폭발..아린 아이돌999 11번째 멤버 합류 [종합]
		","

이미지 원본보기
[OSEN=지민경 기자] 그룹 오마이걸의 아린이 아이돌999 11번째 멤버로 선정됐다.6일 오후 방송된 JTBC '아이돌룸'에는 신곡 ‘번지’로 돌아온 오마이걸이 출연했다.벌써 데뷔 5년차가 된 오마이걸은 지난 활동에서 '다섯 번째 계절'로 음악방송 1위를 하는 등 큰 사랑을 받고 있다. 지난 방송에서 숙소에 밤 11시 30분 통금이 있다는 불만을 이야기했던 바, 이제는 연습도 자유롭게 할 수 있게 됐다고 밝혔다. 또 다른 요구사항은 없냐는 질문에 멤버들은 숙소를 바꾸고 싶다는 바람을 전하기도 했다.다음으로는 아이돌 999 멤버를 뽑기 위한 개별 평가가 진행됐다. 가장 먼저 리더 효정의 평가가 이어졌다. 새싹 꼰대라는 별명이 있는 효정은 ""제가 지적도 많이하고 잔소리도 많이 한다""고 인정했다. 그는 ""데뷔 초 때 심했다. 대학생활 때 이야기 많이 했다. 멤버들보다 겪어왔던 게 많다고 생각해서 그랬나보다""라고 설명했다.이미지 원본보기
멤버들은 ""안무 연습할 때도 본인이 제일 많이 틀린다. 그래도 열정 하나는 인정한다""고 증언했다. 효정은 멤버들과 1대1로 지적질 배틀을 했고 승승장구를 하다 승희를 만나 불꽃튀는 접전을 벌여 큰 웃음을 자아냈다.다음으로 아가 래퍼를 꿈꾸는 아린은 랩에 도전했지만 쑥스러움에 끝까지 완성하지 못했다. 이에 언니들이 나서 아린을 위한 찬양 랩을 준비했다. 효정부터 비니, 승희까지 막내 아린이를 향한 애정이 듬뿍 담긴 랩 퍼포먼스를 선보이며 훈훈함을 자아냈다. 이어 청하의 팬이라고 밝힌 승희는 ""'롤러코스터' 때보고 너무 요염하게 무대를 하시더라. 목소리도 예쁘시고 그래서 그 때 보고 눈에 들어왔는데 '벌써 12시' 때 완전 빠졌다""고 팬심을 드러냈다. 청하에게 영상편지를 보낸 승희는 ""번호 알고 싶어 연락하고 싶어 그리고 좋아해요""라며 다짜고짜 말해 웃음을 자아냈다.이미지 원본보기
이외에도 몸으로 말해요 장인 유아는 멤버들과 몸으로 말해요 게임을 통해 환상의 호흡을 자랑했고, 자칭 섹시 원톱 지호는 '성인식' '허쉬' 커버 무대로 섹시함을 어필했지만 멤버들은 귀엽다는 반응을 쏟아냈다. '비밀정원'으로 쟁반 댄스방에 도전한 멤버들은 우여곡절 끝에 성공했고 마지막 아이돌 999 멤버를 뽑는 '번지' 무대에서는 아린의 손에서 폭탄이 터져 결국 아린이 아이돌 999 11번째 멤버로 합류하게 됐다.오마이걸은 ""오늘이 제일 재미있었다. 쟁반 댄스 생각보다 잘한 것 같아서 뿌듯하고 멤버들이 열심히 했다는 거 알아주셨으면 좋겠다. 앞으로도 오마이걸 많이 사랑해달라""는 소감을 밝혔다. /mk3244@osen.co.kr[사진] '아이돌룸' 방송화면 캡처


				enter.read.font.util.init();
			

"
4,"
			도경수, 요리 취미 살려 軍 조리병 복무..엑소 디오다운 행보[종합]
		","

이미지 원본보기
  [OSEN=민경훈 기자] 2018년 12월 4일 오후 오후 서울 한강로 CGV 용산아이파크몰에서 열린 영화 '스윙키즈' 언론배급 시사회 행사에서 도경수(엑소 디오)가 환하게 미소짓고 있다. /rumi@osen.co.kr[OSEN=김보라 기자] 지난달 현역 입대한 엑소 멤버 디오(본명 도경수・27)가 조리병으로 복무를 이어갈 전망이다.도경수의 소속사 SM엔터테인먼트 측 관계자는 6일 오후 OSEN에 “도경수가 조리병으로 군 복무하게 됐다”고 밝혔다. 7월 1일 입대한 도경수는 현재 군사 기초훈련 막바지에 접어들었다. 수일 내에 자대에 배치돼 조리병으로 근무할 예정이다.취미가 요리인 도경수는 활동 중에는 물론, 입대하기 전까지 자신이 만든 음식을 즐겼다는 전언이다. 이미지 원본보기
  [OSEN=박준형 기자] 2018년 11월 12일 오전 서울 삼성동 SM타운 코엑스 아티움에 진행된 영화 '스윙키즈'(감독 강형철) 제작보고회에서 배우 도경수가 포즈를 취하고 있다. / soul1014@osen.co.kr지난달 1일 논산 육군훈련소로 비공개 입소한 도경수는 서른 살 전에 국방의 의무를 이행하고자 하는 마음에 자원 입대했다. 소속사 SM 측도 본인의 의사를 존중해줬다고. 도경수의 입대는 엑소의 맏형 시우민(30)에 이어 멤버들 중 두 번째 입대다.앞서 도경수는 입대일을 공개했던 지난 5월 30일 엑소의 팬 카페에 자필 편지를 올렸다. 편지에서 도경수는 “오랜 고민 끝에 내린 결정인 만큼 건강히 무사히 잘 다녀오겠다는 말씀을 드리고 싶어 글을 남기게 됐다”고 직접 입대 소식을 알렸었다. 도경수는 이어 “항상 응원해주시는 엑소엘(팬클럽) 여러분들께 진심으로 감사드리고 언제나 모든 분이 항상 웃는 일들만 가득하시고 건강하셨으면 좋겠다”며 “조심히 잘 다녀와 건강한 모습으로 인사 드리겠다”고 말했다. 그의 전역예정일은 2021년 1월 25일이다.이미지 원본보기
  [OSEN=박준형 기자] 2018년 11월 12일 오전 서울 삼성동 SM타운 코엑스 아티움에 진행된 영화 '스윙키즈'(감독 강형철) 제작보고회에서 배우 도경수가 포즈를 취하고 있다. / soul1014@osen.co.kr2012년 엑소로 가요계에 데뷔한 도경수는 현재까지 높은 인기를 누리고 있다. 초반에는 청소년들이 팬덤의 주를 이뤘지만, 2015년 ‘CALL ME BABY’, ‘LOVE ME RIGHT’ 같은 대중적 색깔의 음악 덕분에 현재는 20대는 물론 3040세대 팬층도 눈에 보일 정도로 넓어졌다.도경수는 무엇보다 성공한 ‘연기돌’로 꼽힌다. 드라마 ‘괜찮아, 사랑이야’에서 연기자로서 발전 가능성을 보인 그는 드라마 ‘백일의 낭군님’을 통해 꽃 피웠다. 스크린에서도 활약했는데 올해 초 개봉한 영화 ‘스윙키즈’(감독 강형철)에서는 수준급 탭댄스를, ‘신과 함께’(감독 김용화) 시리즈에서는 관심병사 역할로 연기력을 드러냈다. ‘형’(감독 권수경)으로 흥행에 성공하기도 했다. 스크린과 브라운관을 오가며 20대를 대표하는 배우로서의 입지를 굳힌 도경수의 전역 후 연기 활동 2막이 기대된다./ watch@osen.co.kr


				enter.read.font.util.init();
			

"
5,"
			“빨리 끝나 아쉬워” CIX, 데뷔 리얼리티 마무리..미공개 에피소드 대방출
		","

이미지 원본보기
[OSEN=지민경 기자] 5인조 보이그룹 CIX(씨아이엑스)가 데뷔까지의 여정을 담은 리얼리티를 마무리지었다.6일 오후 네이버 브이라이브(V앱) V오리지널을 통해 CIX(BX, 승훈, 배진영, 용희, 현석)의 데뷔 리얼리티 ‘HELLO CIX(헬로 씨아이엑스)’ 최종회 ‘CIX-FILE’이 그려졌다.이날 현석은 최종회를 맞이한 데뷔 첫 리얼리티에 “첫 회에 비해 자연스러워진 거 같다”고 말했고, BX는 “울고 웃고 좋은 경험을 많이 했다. 너무 빨리 끝나서 아쉽다”라고 덧붙였다. 용희는 “카메라가 처음에는 어색했는데 이제는 친해졌다”라며 데뷔 후 예능 프로그램 출연에 대한 자신감을 내비쳤다.승훈은 스태프들에 감사 인사를 전했을 뿐 아니라 “멤버들과 더 가깝고 친해진 계기가 됐다. 개개인의 성장한 모습도 보여줄 수 있어 좋았다”고 말했다. 배진영은 “시즌2가 나올 수도 있다”라고 예고해 기대를 높였다.이어 CIX는 방송된 리얼리티를 한 회 한 회 짚어보는 시간을 가지는가 하면 최애(최고로 애정) 에피소드를 밝히기도 했다. 또 미공개 에피소드도 공개됐다. 승훈의 명품 연기가 빛났던 마피아 게임, CIX의 단합력을 엿볼 수 있는 텔레파시 게임, 리액션 부자 그룹을 입증케 한 공포 특집 ASMR, 파자마 아이엠그라운드 게임 등 멤버들의 케미가 돋보였다.마지막으로 CIX는 데뷔 타이틀곡 ‘무비 스타(Movie Star)’의 특별한 안무 영상을 공개했다. 재킷 촬영 당시 마니또 미션을 성공하지 못한 현석은 대왕 토끼 인형 탈을 쓰고 안무를 선보여 웃음을 자아냈다. 편안한 복장의 멤버들 또한 장난꾸러기 같은 모습으로 팬들의 눈과 귀를 즐겁게 만들었다.한편, CIX는 1st EP ALBUM ‘HELLO’ Chapter 1. Hello, Stranger(첫 번째 EP앨범 ‘헬로’ 챕터 1. 안녕, 낯선사람) 타이틀곡 ‘무비 스타’로 계속해서 활발한 활동을 이어갈 예정이다. /mk3244@osen.co.kr[사진] ‘HELLO CIX(헬로 씨아이엑스)’ 10회 방송 캡처


				enter.read.font.util.init();
			

"
6,"
			""친한 선후배"" 김희철·모모, 2년 열애설 해프닝이 황당한 이유(종합)[Oh!쎈 이슈]
		","

이미지 원본보기
[OSEN=김은애 기자] 그룹 슈퍼주니어 김희철과 트와이스 모모의 열애설이 3시간 만에 해프닝으로 일단락됐다. 두 사람은 그동안 방송 등을 통해 돈독한 선후배 사이를 과시해온만큼 이번 열애설이 황당하다는 반응이다.6일 오전 한 매체는 김희철과 트와이스 모모가 열애 중이라고 보도했다. 이는 강다니엘과 트와이스 지효의 열애소식과 이어져 더 많은 관심을 받았다. 해당 매체에 따르면 김희철과 모모는 2017년 한 방송 프로그램에 출연하면서 알게 됐다. 이후 2년 동안 진지한 만남을 이어오고 있는 것으로 알려졌다.이미지 원본보기
하지만 김희철과 모모의 열애설은 사실이 아니었다. 김희철의 소속사 SJ레이블과 모모의 소속사 JYP엔터테인먼트는 “두 사람은 평소 친한 선후배 사이일 뿐, (열애설은) 사실 무근임을 알려드린다”고 밝혔다.이에 팬들은 애초부터 김희철과 모모가 친분이 두터웠던 만큼 열애설 자체를 믿지 않았다는 반응이 지배적이었다. 김희철은 트와이스 데뷔 때부터 모모의 팬임을 자처해왔다.그렇다보니 김희철이 ‘주간아이돌’, ‘아는 형님’ 등 예능프로그램에서 주요 멤버로 활약할 때 트와이스가 자주 출연했다. 그 때마다 김희철은 트와이스 노래 중 모모의 파트를 자주 따라 부르곤 했다.뿐만 아니라 김희철은 ‘치어 업’의 ‘조르지 마’ 등을 자신만의 버전으로 보여주는가하면 모모 역시 김희철의 취향을 저격하는 일본 애니메이션 동작 등을 보여줬다. 이미지 원본보기
특히 모모는 김희철과 민경훈이 함께한 그룹 우주겁쟁이의 ‘나비잠’ 뮤직비디오 주인공으로 출연하며 남다른 의리를 과시했다. 그야말로 김희철과 모모는 절친한 사이일 뿐이었던 것이다.그만큼 소속사 측도 팬들도 황당할 수밖에 없을 터. 일각에서는 이러한 일련의 사태들이 의도적으로 트와이스의 이미지를 훼손하기 위한 역바이럴이 아니냐는 의혹까지 제기하고 있다.역바이럴은 유명인의 이미지를 의도적으로 훼손하기 위해 조직적으로 안티성 글과 댓글을 다는 것을 뜻한다. 이번 열애설이 비정상적일 정도의 빠른 속도로 실시간 검색어에 올랐다는 것이 역바이럴 의혹에 힘을 보탰다.이미지 원본보기
여기에 아이돌의 열애설임에도 불구하고 검색어 순위 나이대가 50대라는 점도 의심을 받았다. 그러나 또다른 네티즌들은 역바이럴이 이루어질 이유가 없다고 반박하고 있다.이처럼 김희철과 모모는 뜨거운 열애설 해프닝을 낳게 됐다. 다행히 빠르게 마무리된 가운데 김희철과 모모가 앞으로 각자 위치에서 어떤 행보를 이어갈지 이목이 집중된다. /misskim321@osen.co.kr[사진] OSEN DB


				enter.read.font.util.init();
			

"
7,"
			칸셀루 영입한 맨시티, EPL 3연패 정조준했다 
		","

이미지 원본보기
[OSEN=서정환 기자] 프리미어리그 3연패를 노리는 맨체스터 시티가 측면을 보강했다. 이탈리아 언론 ‘가제타 델로 스포트’는 6일 “맨시티가 유벤투스에 다닐로와 3000만 유로(약 401억 원)를 주고 주앙 칸셀로 영입을 확정했다”고 보도했다. 칼셀루는 메디컬테스트를 위해 맨체스터로 향했다. 칸셀루는 출중한 공격력을 겸비한 측면수비수다.  하지만 지난 시즌 막시밀리아노 알레그리 감독과 심한 불화를 겪어 팀의 골칫거리로 전락했다. 측면보강을 원하는 펩 과르디올라 맨시티 감독은 칸셀루를 탐내왔다. 유벤투스 입장에서도 나쁘지 않은 거래다. 유벤투스와 5년 계약을 맺은 다닐루는 연봉 400만 유로(약 54억 원)을 받는다. 맨시티는 최근 8시즌 동안 무려 4회나 우승을 차지하며 왕조를 구축했다. 맨시티가 3연패에 성공한다면 라이벌 맨유(1998-2001, 2006-2009)에 이어 역대 세 번째 3연패 구단이 된다. / jasonseo34@osen.co.kr 


				enter.read.font.util.init();
			

"
8,"
			[ASL] 김성대, 끈질긴 난전 유도로 반격 성공...8강 1-1 원점
		","

이미지 원본보기
[OSEN=강남, 고용준 기자] 자신을 스스로 최후의 저그로 자처할 만큼 김성대는 확실히 저력이 있었다. 김성대가 끈질긴 난전 유도로 기사회생하면서 ASL 8강전 2세트 반격에 성공했다. 김성대는 6일 오후 서울 대치동 프릭업스튜디오에서 열린 'ASL 시즌8' 조기석과 8강전 2세트에서 디파일러를 활용한 게릴라전으로 상대의 자원줄을 흔들면서 승부를 세트스코어 1-1 원점으로 돌렸다. 초반 분위기는 김성대가 주도했다. 소수의 저글링을 우회해 조기석의 본진을 타격하면서 자연스럽게 뮤탈리스크를 생산하면서 압박을 이어나갔다. 김성대는 후속 카드로 럴커를 생산해 조기석을 본진 위에 가둬버렸다. 하지만 조기석이 앞마당 입구의 저지선을 돌파하면서 양상이 달라졌다. 조기석은 소수 병력이지만 짜임새 있는 구도로 김성대의 확장을 연달아 타격하면서 주도권을 잡았다. 김성대는 조기석의 압박에 계속 자원줄에 타격을 입으면서 흔들렸다. 무난하게 조기석이 승기를 굳히려는 상황에서 김성대가 난전 양상으로 돌파구를 찾았다. 소수의 병력이나 김성대는 디파일러의 다크스웜으로 저글링과 울트라리스크를 분산해 끊임없이 조기석의 자원 기지를 공략하면서 조기석의 자원 확보를 방해했다.악착같이 달려는 김성대의 공세에 결국 조기석은 무너지면서 항복을 선언했다. ◆ ASL 시즌8 8강 2회차▲ 김성대 1-1 조기석1세트 김성대(저그, 3시) [트라이포드] 조기석(테란, 11시) 승2세트 김성대(저그, 7시) 승 [네오 그라운드 제로] 조기석(테란, 11시) scrapper@osen.co.kr


				enter.read.font.util.init();
			

"
9,"
			""빛나는 피부"" 소유X샤이니 키, 절친들의 훈훈한 우정ing [★SHOT!]
		","

이미지 원본보기
[OSEN=지민경 기자] 가수 소유가 키와의 여전한 우정을 자랑했다.소유는 6일 자신의 인스타그램에 ""내가 진짜 타긴 탔구나... 혹시 몰라서. 참고로 예전에 찍은 사진입니닷""이라는 글과 함께 사진을 게재했다.이미지 원본보기
공개된 사진 속에는 소유와 키가 한 음식점에서 다정하게 셀카를 찍고 있는 모습이 담겨 있다. 평소 절친한 사이로 알려진 두 사람의 우정이 훈훈함을 자아낸다.한편 키는 지난 3월 4일 육군 현역으로 입대, 국방의 의무를 다하고 있고, 소유는 Mnet '더콜2'에 출연중이다. /mk3244@osen.co.kr[사진] 소유 인스타그램


				enter.read.font.util.init();
			

"
