title,body,label
줄서서 인사하는 기획재정부 직원들,"(서울=뉴스1) 김명섭 기자 = 홍남기 경제부총리 겸 기획재정부 장관이 18일 서울 여의도 국회에서 열린 기획재정위원회 전체회의에서 직원소개를 하고 있다. 2019.7.18/뉴스1msiron@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
"거래소, 한류타임즈 불성실 공시법인 지정예고","(서울=뉴스1) 곽선미 기자 = 한국거래소 코스닥시장본부는 한류타임즈를 불성실 공시법인으로 지정예고 한다고 18일 밝혔다. 최종 지정 여부는 다음달 12일까지 결정한다.이번 지정예고는 지난 3월 한류타임즈가 '타법인 주식 및 출자증권 취득결정'(자율공시) 철회한 데 따른 것이다. 한류타임즈는 최근 1년간 벌점 7점을 부과받은 바 있다.gsm@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
"李총리 ""미중 경제마찰·한일 경제갈등, 우리 경제 큰 리스크""","키르기스스탄 월드옥타 행사 참석…""수출 상품·지역, 수입처 다변화해야""(총리 페이스북)(비슈케크·타지키스탄=뉴스1) 김현철 기자 = 키르기스스탄을 순방 중인 이낙연 국무총리는 17일(현지시간) ""미중 경제 마찰이 확대되고 한일 경제갈등도 진행 중으로 그런 모든 흐름이 고도로 수출 의존적인 우리 경제에 크나큰 리스크로 작용하고 있다""고 밝혔다.이 총리는 이날 수도 비슈케크에서 열린 세계한인무역협회(월드옥타) 만찬 행사에 참석해 ""수출상품과 수출지역을 다변화해야 하며 소재·부품·장비의 국산화를 서두르면서 수입처를 다변화해야 한다""고 말했다.그는 ""기존 주력산업을 고도화하면서 신산업을 일으켜야 한다""며 우리의 수출 구조에 문제가 많다고 지적했다.이어 ""전체 수출액의 절반 이상이 5대 무역국에 집중되고 수출상품도 반도체·자동차·선박 등에 집중된 채로 오랜 기간을 보냈다""며 ""그런 요인들도 우리 경제에 부담이 됐다""고 덧붙였다.이 총리는 ""주력산업 고도화와 신산업 육성은 제조업 르네상스 비전과 서비스산업 혁신 등으로 추진되고 있다""며 ""수출지역은 신남방정책과 신북방정책으로 다변화되고 있다""고 설명했다.그러면서 ""동남아 등 신남방 지역에서는 자동차, 철강, 석유화학, 에너지 등 경쟁력 높은 분야의 시장진출 기반이 확보됐다""며 ""동남아는 특히 인프라에서 중동보다 더 큰 수주처로 떠올랐다. 신북방 지역에 속하는 중앙아시아와 동유럽 국가들도 곧 그렇게 될 것""이라고 했다.honestly82@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
"KT엠모바일, 알뜰폰+가전 렌탈 결합상품 출시","KT 엠모바일이 알뜰폰과 제품 렌탈을 묶은 '유심 앤 렌탈' 요금제를 선보인다. (KT 엠모바일 제공) © 뉴스1(서울=뉴스1) 김일창 기자 = KT의 알뜰폰 자회사 KT 엠모바일은 모바일·렌탈 제휴 상품인 '유심 앤 렌탈' 요금제를 내놨다고 18일 밝혔다.LTE 후불 요금제 5종과 LED 마스크를 포함한 4종 가전제품을 24개월간 렌탈해주는 상품이 결합돼 있는 '유심 앤 렌탈' 제휴 요금제는 총 20종의 결합 상품으로 구성돼 있다.LED 마스크+알뜰폰 결합상품에 가입하면 24개월간 최대 60만7200원의 할인을 받을 수 있다. 제너레이더 스팀다리미·안구 건조증 치료 기기, 음식물 쓰레기 처리기 등의 결합상품은 최대 52만8000원 할인이 제공된다.KT 엠모바일은 렌탈 제휴 상품 출시를 위해 기본료 3300원에 음성 200분, 문자 200건, 데이터 2기가바이트(GB)를 사용할 수 있는 '실용 USIM 1.9'와 기본료 2만2000원에 음성 100분, 문자 100건과 무제한 데이터를 사용할 수 있는 'LTE 실용 15GB+' 등 인기 후불 유심 요금제 5종을 제공한다.제휴 상품에 가입하는 가입자는 월 기본요금을 최대 2만5300원까지 평생 할인(요금제별 상이)을 받을 수 있으며, '9분 생활영어+YBM 올인올 영한영사전' 1년 이용 쿠폰도 받는다.제휴 카드를 이용하면 이용 실적별로 최대 1만7000원 추가할인도 받을 수 있다.박종진 KT 엠모바일 대표는 ""새로운 라이프 트렌드인 '렌탈' 서비스와 경제적인 통신 생활을 제공하는 '알뜰폰'을 결합한 차별화된 제휴 상품이 유심&렌탈 요금제""라고 소개하며 ""향후 에어컨, TV, 공기청정기, 안마기 등 렌탈 상품을 확대하겠다""고 밝혔다.ickim@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
방한 마친 데이비드 스틸웰 차관보,"(인천공항=뉴스1) 안은나 기자 = 데이비드 스틸웰 미국 국무부 신임 동아시아·태평양 차관보가 2박3일 방한 일정을 마친 후 18일 오전 인천국제공항 1터미널을 통해 출국하고 있다. 2019.7.18/뉴스1coinlocker@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
출국하는 데이비드 스틸웰 美 차관보,"(인천공항=뉴스1) 안은나 기자 = 데이비드 스틸웰 미국 국무부 신임 동아시아·태평양 차관보가 2박3일 방한 일정을 마친 후 18일 오전 인천국제공항 1터미널을 통해 출국하고 있다. 2019.7.18/뉴스1coinlocker@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
성폭행 혐의로 검찰 송치되는 강지환,"(성남=뉴스1) 조태형 기자 = 성폭행 혐의로 구속된 배우 강지환씨(본명 조태규)가 18일 오전 경기도 성남시 분당경찰서에서 검찰 송치를 위해 이송되고 있다.강씨는 지난 9일 오후 10시50분께 경기 광주시 오포읍 소재 자신의 집에서 여성 스태프 2명이 자고 있는 방에 들어가 한 명을 성폭행하고 한 명을 성추행한 혐의를 받고 있다. 2019.7.18/뉴스1phototom@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
업무보고하는 홍남기 부총리,"(서울=뉴스1) 김명섭 기자 = 홍남기 경제부총리 겸 기획재정부 장관이 18일 서울 여의도 국회에서 열린 기획재정위원회 전체회의에서 업무보고를 하고 있다. 2019.7.18/뉴스1msiron@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
"배우 강치환, 검찰 송치","(성남=뉴스1) 조태형 기자 = 성폭행 혐의로 구속된 배우 강지환씨(본명 조태규)가 18일 오전 경기도 성남시 분당경찰서에서 검찰 송치를 위해 이송되고 있다.강씨는 지난 9일 오후 10시50분께 경기 광주시 오포읍 소재 자신의 집에서 여성 스태프 2명이 자고 있는 방에 들어가 한 명을 성폭행하고 한 명을 성추행한 혐의를 받고 있다. 2019.7.18/뉴스1phototom@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
성폭행 혐의로 검찰 송치되는 배우 강지환,"(성남=뉴스1) 조태형 기자 = 성폭행 혐의로 구속된 배우 강지환씨(본명 조태규)가 18일 오전 경기도 성남시 분당경찰서에서 검찰 송치를 위해 이송되고 있다.강씨는 지난 9일 오후 10시50분께 경기 광주시 오포읍 소재 자신의 집에서 여성 스태프 2명이 자고 있는 방에 들어가 한 명을 성폭행하고 한 명을 성추행한 혐의를 받고 있다. 2019.7.18/뉴스1phototom@news1.kr▶ [ 크립토허브 ]▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",2
